product_name,brand,material_composition,hts_code,tariff_rate,country,base_price
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,1.85
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,12.91
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,78.97
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,12.71
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,5.01
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,98.16
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,15.51
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,93.95
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Vietnam,76.42
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,69.25
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,77.71
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,51.53
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,24.25
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,81.75
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,44.89
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,41.02
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Germany,81.49
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Malaysia,18.73
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,56.73
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Vietnam,10.52
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Germany,49.61
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Thailand,36.03
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,15.28
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,88.16
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,India,1.5
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,3.44
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,China,94.11
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,75.1
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,71.1
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,52.23
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,64.1
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Malaysia,93.8
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,62.78
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,59.97
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,25.34
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,India,74.38
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,47.94
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,96.44
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,China,85.95
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,93.58
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,88.19
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,12.3
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Malaysia,69.65
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Mexico,92.23
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,India,27.83
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Germany,7.49
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Thailand,18.16
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,Thailand,68.89
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Thailand,72.31
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Germany,10.59
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,Malaysia,63.88
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Mexico,82.1
Cotton Shirt,Gap,100% Cotton,6109.10.0012,0.085,Thailand,46.36
Nitrile Gloves,McKesson,100% Nitrile,4015.19.0510,0.03,China,95.44
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,69.93
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,India,27.4
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,India,86.67
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,Malaysia,29.73
Plastic Chair,IKEA,100% Plastic,9401.80.4045,0.06,China,59.19
Cordless Drill,SBD,"60% Steel, 30% Plastic, 10% Electronics",8467.21.0030,0.017,China,80.54
Aluminum Can,Coca-Cola,100% Aluminum,7612.90.1090,0.02,Mexico,99.9
